id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYziDEcr,tehran,peugeot20602,1400,white,22000,intact,healthy,intact,intact,3,manual,410000000
wYza0T6q,tehran,peugeot20602,1391,white,153000,collision_rep,healthy,intact,intact,4,manual,269000000
wYzSUoWT,tehran,peugeot20602,1389,ashgray,240000,intact,healthy,intact,intact,4,manual,230000000
wYzKUaiM,tehran,peugeot20602,1391,white,235000,minor_scratch,healthy,intact,intact,6,manual,280000000
wYzijp8U,tehran,peugeot20602,1390,ashgray,267000,round_colored,healthy,intact,intact,9,manual,230000000
wYzCjNF6,tehran,peugeot20602,1394,white,162000,minor_scratch,healthy,intact,intact,6,manual,315000000
wYz-DOpI,tehran,peugeot20602,1391,white,235000,minor_scratch,healthy,intact,intact,6,manual,280000000
wYzWhtn5,tehran,peugeot20602,1399,white,40000,intact,healthy,intact,intact,4,manual,410000000
wYz6jQty,tehran,peugeot20602,1396,ashgray,128000,minor_scratch,n/a,n/a,n/a,n/a,n/a,330000000
wYzGTcDQ,tehran,peugeot20602,1387,white,243000,minor_scratch,healthy,intact,intact,6,manual,225000000
wYz2yWgC,tehran,peugeot20602,1399,white,23000,intact,healthy,intact,intact,9,manual,440000000
wYzaT1gS,tehran,peugeot20602,1401,white,7200,intact,healthy,intact,intact,2,manual,460000000
wYzqSGdx,tehran,peugeot20602,1389,white,238000,colored,healthy,intact,intact,n/a,manual,230000000
wYzWTkMt,tehran,peugeot20602,1400,blue,28000,intact,healthy,intact,intact,12,manual,440000000
wYzSjAgM,tehran,peugeot20602,1388,black,355000,minor_scratch,healthy,intact,intact,12,manual,230000000
wYzOTbva,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,n/a,manual,465000000
wYzGTt6U,tehran,peugeot20602,1398,white,68000,minor_scratch,healthy,n/a,n/a,7,manual,379000000
wYzGjLKT,tehran,peugeot20602,1387,ashgray,270000,round_colored,healthy,intact,intact,1,manual,203000000
wYzCDZt6,tehran,peugeot20602,1388,white,360000,colored,healthy,intact,intact,10,manual,230000000
wYzCTI2s,tehran,peugeot20602,1399,white,22000,intact,healthy,intact,intact,8,manual,410000000
wYz-SVD8,tehran,peugeot20602,1399,white,41000,colored,healthy,impact,intact,8,manual,360000000
wYz2Skrr,tehran,peugeot20602,1397,white,70000,intact,healthy,intact,intact,n/a,n/a,389000000
wYz2iBgR,tehran,peugeot20602,1385,ashgray,350513,round_colored,healthy,intact,intact,2,manual,178000000
wYziDEcr,tehran,peugeot20602,1400,white,22000,intact,healthy,intact,intact,3,manual,410000000
wYza0T6q,tehran,peugeot20602,1391,white,153000,collision_rep,healthy,intact,intact,4,manual,269000000
wYzSUoWT,tehran,peugeot20602,1389,ashgray,240000,intact,healthy,intact,intact,4,manual,230000000
wYzKUaiM,tehran,peugeot20602,1391,white,235000,minor_scratch,healthy,intact,intact,6,manual,280000000
wYzijp8U,tehran,peugeot20602,1390,ashgray,267000,round_colored,healthy,intact,intact,9,manual,230000000
wYzCjNF6,tehran,peugeot20602,1394,white,162000,minor_scratch,healthy,intact,intact,6,manual,315000000
wYz-DOpI,tehran,peugeot20602,1391,white,235000,minor_scratch,healthy,intact,intact,6,manual,280000000
wYzWhtn5,tehran,peugeot20602,1399,white,40000,intact,healthy,intact,intact,4,manual,410000000
wYz6jQty,tehran,peugeot20602,1396,ashgray,128000,minor_scratch,n/a,n/a,n/a,n/a,n/a,330000000
wYzGTcDQ,tehran,peugeot20602,1387,white,243000,minor_scratch,healthy,intact,intact,6,manual,225000000
wYzaT1gS,tehran,peugeot20602,1401,white,7200,intact,healthy,intact,intact,2,manual,460000000
wYzqSGdx,tehran,peugeot20602,1389,white,238000,colored,healthy,intact,intact,n/a,manual,230000000
wYzWTkMt,tehran,peugeot20602,1400,blue,28000,intact,healthy,intact,intact,12,manual,440000000
wYzSjAgM,tehran,peugeot20602,1388,black,355000,minor_scratch,healthy,intact,intact,12,manual,230000000
wYzOTbva,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,n/a,manual,465000000
wYzGTt6U,tehran,peugeot20602,1398,white,68000,minor_scratch,healthy,n/a,n/a,7,manual,379000000
wYzGjLKT,tehran,peugeot20602,1387,ashgray,270000,round_colored,healthy,intact,intact,1,manual,203000000
wYzCDZt6,tehran,peugeot20602,1388,white,360000,colored,healthy,intact,intact,10,manual,230000000
wYzCTI2s,tehran,peugeot20602,1399,white,22000,intact,healthy,intact,intact,8,manual,410000000
wYz-SVD8,tehran,peugeot20602,1399,white,41000,colored,healthy,impact,intact,8,manual,360000000
wYz2Skrr,tehran,peugeot20602,1397,white,70000,intact,healthy,intact,intact,n/a,n/a,389000000
wYz2iBgR,tehran,peugeot20602,1385,ashgray,350513,round_colored,healthy,intact,intact,2,manual,178000000
wYpSDSOZ,tehran,peugeot20602,1398,white,35000,intact,healthy,intact,intact,3,manual,405000000
wYzii_Vw,tehran,peugeot20602,1399,white,26000,intact,healthy,intact,intact,9,manual,425000000
wYzaid1z,tehran,peugeot20602,1395,seashell,100000,collision_rep,healthy,intact,intact,5,manual,335000000
wYz6xttW,tehran,peugeot20602,1390,white,200000,round_colored,healthy,intact,intact,2,manual,244000000
wYzSSDUH,tehran,peugeot20602,1398,white,32000,intact,healthy,intact,intact,4,manual,406000000
wYzOCMmm,tehran,peugeot20602,1396,seashell,74000,intact,healthy,intact,intact,6,manual,370000000
wYzKSHET,tehran,peugeot20602,1399,white,68000,collision_rep,healthy,intact,intact,6,manual,400000000
wYzuB6KF,tehran,peugeot20602,1396,white,190000,intact,healthy,intact,intact,6,manual,325000000
wYzuR1nN,tehran,peugeot20602,1399,white,0,intact,healthy,intact,intact,6,manual,445000000
wYzCxpZ6,tehran,peugeot20602,1397,white,40000,intact,healthy,intact,intact,5,manual,408000000
wYzWx4EZ,tehran,peugeot20602,1398,white,52000,minor_scratch,n/a,intact,intact,11,n/a,395000000
wYzKBH1d,tehran,peugeot20602,1382,silverblue,223000,colored,healthy,intact,intact,6,manual,163000000
wYzyR6LH,tehran,peugeot20602,1381,silver,450000,round_colored,healthy,intact,intact,2,manual,133000000
wYzyhXoZ,tehran,peugeot20602,1397,white,45000,intact,healthy,intact,intact,12,manual,385000000
wYzWhdDd,tehran,peugeot20602,1400,white,27000,intact,healthy,intact,intact,10,manual,420000000
wYwqVhh0,tehran,peugeot20602,1401,white,119,intact,healthy,intact,intact,n/a,manual,470000000
wYzOxnOM,tehran,peugeot20602,1399,blue,60000,intact,healthy,intact,intact,9,manual,395000000
wYzeBnqI,tehran,peugeot20602,1394,white,145000,minor_scratch,healthy,intact,intact,1,manual,280000000
wYzax-z7,tehran,peugeot20602,1382,wine,256000,round_colored,replaced,impact,intact,10,manual,140000000
wYzaxCxb,tehran,peugeot20602,1399,white,18700,intact,healthy,intact,intact,10,manual,410000000
wYzSBqEj,tehran,peugeot20602,1394,ashgray,120000,minor_scratch,healthy,intact,intact,10,manual,300000000
wYz-A4lU,tehran,peugeot20602,1386,ashgray,320000,whole_colored,healthy,intact,intact,12,manual,158500000
wYu-dXyT,tehran,peugeot20602,1394,white,181000,intact,healthy,intact,intact,11,manual,325000000
wYzORDYO,tehran,peugeot20602,1396,white,110000,intact,healthy,intact,intact,6,manual,356000000
