id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYT-yZJj,tehran,peugeot20602,1396,white,100000,intact,healthy,intact,intact,1,manual,280000000
wYT2ivFR,tehran,peugeot20602,1389,white,211000,colored,healthy,intact,intact,11,manual,188000000
wYT6yDtv,tehran,peugeot20602,1385,silver,436000,whole_colored,healthy,impact,intact,5,manual,125000000
wYT2w2jc,tehran,peugeot20602,1396,white,62000,minor_scratch,healthy,intact,intact,3,manual,265000000
wYTySTDU,tehran,peugeot20602,1381,black,275000,round_colored,healthy,intact,intact,9,manual,115000000
wYLikoiq,tehran,peugeot20602,1381,white,111111,intact,healthy,intact,intact,,manual,169000000
wYTuiD25,tehran,peugeot20602,1382,silver,260000,round_colored,needfix,intact,intact,11,manual,122000000
wY3tjoZ-,tehran,peugeot20602,1399,white,35000,intact,healthy,intact,intact,12,manual,325000000
wYTqC_8b,tehran,peugeot20602,1381,black,200000,round_colored,needfix,intact,intact,2,manual,105000000
wYTqibI_,tehran,peugeot20602,1399,white,47000,collision_rep,healthy,intact,intact,4,manual,318000000
wYTmCwe0,tehran,peugeot20602,1389,white,160000,intact,healthy,intact,intact,8,manual,189000000
wYTii4Qf,tehran,peugeot20602,1386,ashgray,293000,whole_colored,healthy,intact,intact,9,manual,136000000
wYTeSyHB,tehran,peugeot20602,1395,white,150000,minor_scratch,healthy,intact,intact,8,manual,235000000
wYTeCjKD,tehran,peugeot20602,1396,white,111000,minor_scratch,healthy,intact,intact,3,manual,276000000
wYTaSTSo,tehran,peugeot20602,1389,white,290000,colored,healthy,intact,intact,11,manual,177000000
wYRWs4aV,tehran,peugeot20602,1398,white,90000,colored,healthy,intact,intact,1,manual,285000000
wYKmQ1Dc,tehran,peugeot20602,1384,silver,205000,colored,healthy,intact,intact,10,manual,145000000
wYT6RvqG,tehran,peugeot20602,1386,white,318000,colored,healthy,intact,intact,12,manual,168000000
wYM6ECMu,tehran,peugeot20602,1385,ashgray,350000,whole_colored,healthy,,,4,manual,139000000
wYTOS5JO,tehran,peugeot20602,1389,seashell,180000,intact,healthy,intact,intact,2,manual,207000000
wYT-xIaE,tehran,peugeot20602,1382,silver,250000,minor_scratch,healthy,intact,intact,4,manual,120000000
wYTGyzVZ,tehran,peugeot20602,1397,white,56000,minor_scratch,healthy,intact,intact,1,manual,282000000
wYTOCYFL,tehran,peugeot20602,1398,white,60000,intact,healthy,intact,intact,2,manual,318000000
wYTOyJeo,tehran,peugeot20602,1398,white,20000,colored,healthy,intact,intact,2,manual,295000000
wYTKCwuO,tehran,peugeot20602,1397,white,110000,colored,healthy,intact,intact,1,manual,272000000
wYTKiAk2,tehran,peugeot20602,1383,dimgray,268000,colored,healthy,intact,intact,10,manual,136000000
wYTCiwxo,tehran,peugeot20602,1382,dimgray,200000,minor_scratch,healthy,intact,intact,2,manual,135000000
wYTCyrxP,tehran,peugeot20602,1398,white,51000,collision_rep,healthy,intact,intact,1,manual,310000000
wYT6Be6X,tehran,peugeot20602,1389,white,190000,round_colored,,intact,intact,6,manual,195000000
wYT-x7nG,tehran,peugeot20602,1398,eggplant,56000,minor_scratch,,intact,intact,12,manual,300000000
wYEG94yz,tehran,peugeot20602,1400,white,22000,intact,healthy,intact,intact,12,manual,352000000
wYTuR57O,tehran,peugeot20602,1398,white,48000,intact,healthy,intact,intact,12,manual,313000000
wYTyhrkW,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,manual,366000000
wYTuR73u,tehran,peugeot20602,1401,white,200,intact,,intact,intact,,,365000000
wYTyhF1I,tehran,peugeot20602,1383,silver,270000,colored,healthy,intact,intact,12,manual,130000000
wYTuh13y,tehran,peugeot20602,1395,white,138000,colored,healthy,intact,intact,3,manual,239000000
wY3xYbof,tehran,peugeot20602,1396,cerise,100000,intact,healthy,intact,intact,9,manual,263000000
wYTuBoDO,tehran,peugeot20602,1390,white,215000,round_colored,healthy,intact,intact,7,manual,193000000
wYKqez4s,tehran,peugeot20602,1398,white,83000,collision_rep,healthy,intact,intact,5,manual,295000000
wYP-RT6i,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,manual,375000000
wYDa5eP5,tehran,peugeot20602,1386,silver,290000,minor_scratch,healthy,intact,intact,3,manual,159000000
wYTiR5BG,tehran,peugeot20602,1394,white,111000,intact,healthy,intact,intact,11,manual,269000000
wYLe1LAT,tehran,peugeot20602,1391,silver,240000,colored,healthy,intact,intact,9,manual,190000000
wYTWBm9i,tehran,peugeot20602,1399,white,60000,intact,healthy,intact,intact,11,manual,330000000
wYTaB8Rb,tehran,peugeot20602,1400,white,16000,intact,healthy,intact,intact,9,manual,340000000
wYTahjd4,tehran,peugeot20602,1382,huntergreen,315700,colored,healthy,intact,intact,1,manual,115000000
wYLawD3G,tehran,peugeot20602,1383,silver,185000,round_colored,healthy,intact,intact,1,manual,122000000
wYRK9gBQ,tehran,peugeot20602,1384,silver,220000,round_colored,healthy,intact,intact,6,manual,90000000
wYTOxHmN,tehran,peugeot20602,1400,white,38000,intact,healthy,intact,intact,7,manual,345000000
wYTGBUFA,tehran,peugeot20602,1396,ashgray,120000,minor_scratch,healthy,,,,,280000000
wYTKhhrB,tehran,peugeot20602,1385,ashgray,247000,minor_scratch,healthy,intact,intact,3,manual,158000000
wYTGxmfx,tehran,peugeot20602,1399,white,50000,intact,healthy,intact,intact,4,manual,300000000
wYTqQFCR,tehran,peugeot20602,1399,white,8500,intact,healthy,intact,intact,12,manual,335000000
wYTCRy4G,tehran,peugeot20602,1394,white,104000,minor_scratch,healthy,intact,intact,12,,245000000
wYTCxk21,tehran,peugeot20602,1384,black,480000,whole_colored,healthy,intact,intact,7,manual,120000000
wYTqgpxT,tehran,peugeot20602,1397,white,94000,intact,healthy,intact,intact,8,manual,300000000
wYT-gl0e,tehran,peugeot20602,1387,pink,270000,,,,,12,manual,170000000
wYSaExmt,tehran,peugeot20602,1389,white,90000,colored,healthy,intact,intact,12,manual,198000000
wYT6wsNZ,tehran,peugeot20602,1401,white,18000,intact,healthy,intact,intact,4,manual,352000000
wYT6AV15,tehran,peugeot20602,1400,silver,9000,minor_scratch,healthy,intact,intact,12,manual,320000000
wYT2Q3Mj,tehran,peugeot20602,1395,white,140000,intact,healthy,intact,intact,11,manual,255000000
wYPWAEHA,tehran,peugeot20602,1400,white,40000,intact,healthy,intact,intact,7,manual,342000000
wYTuQEeT,tehran,peugeot20602,1400,white,8800,intact,healthy,intact,intact,11,manual,351000000
wYTaAjUm,tehran,peugeot20602,1390,white,148000,intact,healthy,intact,intact,3,manual,230000000
wYLCQeik,tehran,peugeot20602,1399,white,30000,intact,healthy,intact,intact,2,manual,327000000
wYNqJDeo,tehran,peugeot20602,1396,ashgray,70000,intact,healthy,intact,intact,7,manual,275000000
wYTiwESk,tehran,peugeot20602,1383,silver,310000,round_colored,healthy,intact,intact,10,manual,125000000
wYTWgriR,tehran,peugeot20602,1398,white,30000,intact,healthy,intact,intact,3,manual,320000000
wYTiQGxY,tehran,peugeot20602,1396,white,69000,intact,healthy,intact,intact,11,manual,286000000
wYTWQJv2,tehran,peugeot20602,1394,white,90000,colored,healthy,intact,intact,4,manual,242500000
wYTWQho5,tehran,peugeot20602,1395,silver,121000,minor_scratch,healthy,intact,intact,7,manual,253000000
wYTOQ8FP,tehran,peugeot20602,1391,black,210000,round_colored,healthy,impact,intact,8,manual,188000000
wYTOA4E8,tehran,peugeot20602,1382,silver,182000,intact,healthy,intact,intact,12,manual,143000000
wYPmpukN,tehran,peugeot20602,1385,dimgray,225000,colored,healthy,intact,intact,7,manual,157000000
wYSefm18,tehran,peugeot20602,1382,huntergreen,500000,round_colored,healthy,intact,intact,5,manual,115000000
wYTGw1Tp,tehran,peugeot20602,1398,white,11000,collision_rep,healthy,intact,intact,6,manual,325000000
wYDWp4OP,tehran,peugeot20602,1398,white,63000,intact,healthy,intact,intact,6,manual,295000000
wYS6Py2t,tehran,peugeot20602,1398,white,27000,colored,healthy,intact,intact,6,manual,280000000
wYJSKLod,tehran,peugeot20602,1384,ashgray,300000,colored,healthy,intact,intact,3,manual,139000000
wYS2_X93,tehran,peugeot20602,1398,white,70000,intact,healthy,intact,intact,8,manual,305000000
wYSyfag7,tehran,peugeot20602,1396,seashell,122000,intact,healthy,intact,intact,6,manual,272500000
wY01jlTc,tehran,peugeot20602,1400,white,8000,intact,healthy,intact,intact,11,manual,352000000
wYSi_5eF,tehran,peugeot20602,1395,white,120000,colored,healthy,intact,intact,6,manual,230000000
wYSm_6cA,tehran,peugeot20602,1397,white,90000,intact,healthy,intact,intact,8,manual,305000000
